,1/N,Min-Var (LW),Risk Parity,60/40,HRP,MV Robust (Shrunk20)
2022-08-26,1.060023658549094,0.9707327139214542,1.0597862540225134,1.043034748712192,0.9914391474739879,1.0280156158899123
2022-08-29,1.0582749016443682,0.9687939194207881,1.0580381777243666,1.0365236784738316,0.9876211103660906,1.0324772690097137
2022-08-30,1.0484585781815658,0.966056834434444,1.0482272089629627,1.0295736514023992,0.9841633432815925,1.0230838188582467
2022-08-31,1.041191869211246,0.960670788293545,1.0409617718956086,1.023166836967112,0.9794027856341742,1.0140677255799528
2022-09-01,1.033642725549334,0.9570938250796861,1.0334145981069567,1.0218396187939918,0.9752349614547254,1.0079565922186227
2022-09-02,1.0304769966326828,0.9584920439631964,1.0302527985540826,1.01766468052253,0.9730738890817834,1.0087754684113874
2022-09-06,1.0248401161590504,0.9530071949695899,1.0246169283566302,1.0108252050408122,0.9679717280348152,1.0068491344153176
2022-09-07,1.033739831954003,0.9598701860912243,1.033512652942026,1.024364893655133,0.9755099107966528,1.0050650350292456
2022-09-08,1.0339837780834846,0.9594291858145692,1.0337560109360011,1.026866939272566,0.9771033092000969,1.006801887061241
2022-09-16,1.0297003470591215,0.9583936331923294,1.0294762014711922,1.0224996871303806,0.9747838074644726,1.0046906439301817
2022-09-19,1.0345796648841388,0.9601052885214219,1.0343520246046642,1.0260970473242617,0.9773578586956518,1.0105552136369325
2022-09-20,1.0244437667152706,0.9547049645828217,1.0242200312590872,1.0164856792782637,0.9696595557976906,1.0067904971509345
2022-09-21,1.0164626286197513,0.9539834796590209,1.0162460564016322,1.0074684011747148,0.9644380745274391,1.002456314389893
2022-09-22,1.0114099257937372,0.9480704370617643,1.0111939578614617,0.9963161371758505,0.9610546942189697,1.002821736256845
2022-09-23,0.9900308026997272,0.9395738865631604,0.9898251000954865,0.9867948523689377,0.9476085671941944,0.9838521616788455
2022-09-26,0.9746402077172874,0.9282403327427845,0.9744383956231045,0.9743739122749049,0.9348935191862527,0.9681254957351518
